sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
14013207,,7.5,,,,,9.25,9.25,,
14013208,3.0,6.25,,,,,4.5,4.75,,
14013209,5.8,6.75,6.8,,,,9.0,,,N1
14013210,,5.0,,,,,5.0,6.0,,
14013211,,7.25,,,,,5.5,6.75,8.75,
14013212,,6.25,,,,,6.0,7.0,7.75,
14013213,,6.25,,,,,6.25,7.75,,
14013214,,5.25,,,,,7.25,7.5,8.5,
14013215,,7.5,3.4,,,,6.0,,8.5,N1
14013216,,5.0,,,,,6.5,6.5,8.25,
14013217,,8.5,,,,,7.75,,8.25,
14013218,,4.75,,,,,4.25,4.75,,
14013219,,6.5,,,,,7.5,8.25,,
14013220,,6.25,2.4,,,,8.25,7.0,,N1
14013221,,5.75,,,,,9.75,8.25,,
14013222,,5.25,,,,,6.0,5.5,7.75,
14013223,,5.25,,,,,5.5,7.25,8.75,
14013224,,4.25,,,,,6.75,8.0,9.5,
14013225,,7.0,,,,,7.75,7.5,,
14013226,,5.25,,,,,4.0,7.25,7.5,
14013227,,4.75,,,,,8.25,6.0,,
14013228,,4.75,,,,,8.75,8.75,9.25,
14013229,3.2,4.75,6.0,,,,,,,N1
14013230,,3.75,,,,,2.75,5.0,5.75,
14013231,,7.25,,,,,10.0,9.75,,
14013232,,5.5,,,,,8.0,7.75,8.5,
14013233,,5.0,,,,,7.5,8.0,8.0,
14013234,,5.75,,,,,7.75,9.0,,
14013235,,4.25,,,,,4.5,6.25,,
14013236,,3.25,,,,,5.25,6.25,,
14013237,,6.25,,,,,6.75,8.75,9.0,
14013238,,5.25,,,,,6.25,6.75,,
14013239,,5.25,,,,,7.25,8.0,6.5,
14013240,,3.5,,,,,7.25,5.25,7.25,
14013241,,4.75,,,,,9.0,8.75,9.5,
14013242,,3.0,,,,,7.75,6.25,6.0,
14013243,,5.75,,,,,6.25,8.5,8.25,
14013244,,5.5,,,,,8.5,8.5,9.0,
14013245,,4.75,,,,,7.75,7.75,8.25,
14013246,,6.25,,,,,8.25,9.0,,
14013247,,5.0,,,,,7.75,8.75,8.75,
14013248,,5.0,,,,,3.5,4.75,4.75,
14013249,,6.0,,,,,4.5,5.75,6.0,
14013250,,5.5,,,,,7.0,7.0,,
14013251,,4.5,,,,,7.5,8.5,9.0,
14013252,,4.5,,,,,3.0,5.25,,
14013253,4.8,7.0,5.8,,,,,,,N1
14013254,7.8,,,7.25,8.25,,,,,
14013255,6.2,6.5,6.8,,,,,8.75,8.25,N1
14013256,,6.0,,,,,7.25,8.0,,
14013257,,5.75,,,,,8.5,8.5,9.0,
14013258,2.4,5.25,,,,,7.0,,,
14013259,,6.75,,,,,9.5,8.75,,
14013260,,5.75,,,,,7.25,7.75,9.25,
14013261,,1.25,,,,,3.0,3.75,4.5,
14013262,4.2,,,4.25,4.75,,,,,
14013263,6.0,5.0,6.8,4.0,5.75,5.0,,,,N1
14013264,,5.5,,,,,7.0,9.25,,
14013265,,5.5,,,,,6.75,5.75,7.0,
14013266,,2.75,,,,,5.25,6.75,7.75,
14013267,,4.75,,,,,5.25,6.75,7.75,
14013268,1.8,3.25,,,,,3.0,3.25,,
14013269,,4.5,,,,,5.0,6.0,6.75,
14013270,,5.0,,,,,8.75,8.0,,
14013271,,3.5,,,,,6.25,5.25,4.0,
14013272,6.0,5.25,,,,,7.5,8.0,8.75,
14013273,,4.5,,,,,3.75,5.25,,
14013274,,4.5,,,,,7.25,8.25,,
14013275,,4.75,,,,,7.0,8.75,8.5,
14013276,4.4,5.75,3.6,,,,5.0,6.25,,N1
14013277,,2.5,,,,,5.25,5.25,,
14013278,,5.25,,,,,8.5,7.25,6.5,
14013279,,5.25,,,,,5.5,7.75,8.75,
14013280,,3.75,,,,,5.0,5.5,6.5,
14013281,,5.75,,,,,6.0,7.0,8.5,
14013282,,3.25,,,,,3.75,5.75,4.75,
14013283,,5.5,,,,,3.75,5.5,,
14013284,,4.5,,,,,7.5,7.0,7.5,
14013285,5.2,4.5,,,,,3.5,5.75,7.75,
14013286,,4.25,,,,,5.5,6.5,,
14013287,,6.0,,,,,4.75,7.0,6.25,
14013288,,3.0,,,,,4.5,6.5,6.5,
14013289,,5.5,,,,,5.25,7.0,,
14013290,,3.25,,,,,4.25,5.5,6.0,
14013291,,4.75,,,,,4.25,7.5,,
14013292,,4.25,,,,,5.5,5.25,,
14013293,7.6,,,4.75,5.25,,,,,
14013294,,5.5,,,,,7.75,7.25,8.0,
14013295,,6.0,,,,,5.75,7.5,,
14013296,7.6,6.0,,,,,8.0,8.25,,
14013297,,5.0,,,,,8.25,8.25,5.5,
14013298,,6.5,,,,,5.25,7.5,,
14013299,8.0,,,7.5,4.75,,,,,
14013300,,6.5,,,,,3.25,6.75,6.75,
14013301,,6.0,,,,,8.0,8.75,7.5,
14013302,,2.5,,,,,4.0,6.0,,
14013303,,6.25,,,,,7.0,7.75,,
14013304,5.6,4.25,,,,,6.0,,,
14013305,,3.25,,,,,8.75,9.25,9.75,
14013306,,6.5,,,,,6.0,6.25,8.75,
14013307,,5.0,,,,,5.75,7.25,7.5,
14013308,,7.0,,,,,8.5,7.75,,
14013309,,6.5,,,,,7.25,7.75,9.5,
14013310,,8.5,,,,,7.75,9.0,9.5,
14013311,,5.0,,,,,6.75,8.0,8.25,
14013313,,7.5,,,,,8.0,7.5,,
14013315,,6.0,,,,,6.75,8.0,,
14013316,,5.25,,,,,7.0,7.75,8.5,
14013317,,5.0,,,,,5.25,5.75,6.25,
14013318,,2.0,,,,,5.25,5.5,7.25,
14013319,,4.75,,,,,5.0,5.5,,
14013320,,4.75,,,,,4.25,6.25,,
14013321,8.2,7.0,,5.0,7.5,7.0,,,,
14013322,,6.0,,,,,9.0,9.0,,
14013323,,5.25,,,,,7.0,8.0,8.75,
14013324,,6.25,,,,,7.0,8.0,,
14013325,,3.25,,,,,3.5,6.25,6.75,
14013326,,5.75,,,,,7.25,7.75,8.0,
14013327,,5.25,,,,,5.0,7.5,8.75,
14013329,8.2,,,5.75,6.25,,,,,
14013330,,5.0,,,,,7.25,7.75,9.0,
14013331,,4.0,,,,,4.5,6.75,7.75,
14013332,,4.75,,,,,5.5,6.25,6.5,
14013333,7.8,7.0,,,,,9.25,9.5,,
14013334,,5.75,,,,,5.5,7.5,6.75,
14013335,,4.5,,,,,8.25,8.5,9.25,
14013336,,5.75,,,,,4.5,6.5,,
14013337,,7.0,,,,,9.5,9.5,,
14013339,,7.0,,,,,7.25,8.75,,
14013341,,6.0,,,,,8.5,8.5,,
14013342,,5.0,,,,,6.75,6.75,7.5,
14013343,,6.25,,,,,5.5,7.25,9.5,
14013344,8.4,,7.4,7.5,,,,,,N1
14013345,,4.5,,,,,6.75,7.5,,
14013346,,4.25,,,,,8.25,7.75,9.0,
14013347,,4.0,,,,,2.75,6.0,,
14013348,,3.75,,,,,7.25,6.0,6.0,
14013349,,6.0,,,,,4.75,6.0,7.25,
14013350,5.0,6.5,,,,,4.0,7.75,7.5,
14013351,,5.0,,,,,4.5,4.75,,
14013352,,4.25,,,,,4.75,4.25,6.5,
14013353,,5.5,,,,,8.25,6.75,8.5,
14013354,,4.75,,,,,6.75,7.75,9.5,
14013355,,5.5,,,,,8.5,8.0,8.5,
14013356,,5.25,,,,,7.75,8.5,8.75,
14013357,,5.0,,,,,9.5,9.5,9.75,
14013358,,3.25,,,,,4.5,5.25,6.75,
14013359,,5.75,,,,,8.0,7.75,9.25,
14013360,,5.25,,,,,4.75,6.25,6.75,
14013361,,6.0,,,,,8.75,9.0,9.25,
14013362,6.8,7.5,,,,,9.5,9.5,,
14013363,,5.75,,,,,7.75,9.5,9.5,
14013364,,4.0,,,,,7.75,8.75,9.0,
14013365,7.2,8.5,,,,,8.5,8.25,,
14013366,,7.0,,,,,6.0,6.75,8.0,
14013368,6.2,,,5.0,5.5,,,,,
14013369,,5.25,,,,,6.75,8.25,9.5,
14013370,,4.75,,,,,4.5,2.75,6.5,
14013371,,5.0,,,,,4.25,6.5,,
14013372,,5.75,,,,,8.0,6.5,7.75,
14013373,,4.25,,,,,8.75,8.25,,
14013374,,3.5,,,,,4.5,6.0,,
14013375,5.0,6.0,7.8,,,,,,,N1
14013376,,5.5,,,,,3.75,5.5,6.5,
14013377,,6.0,,,,,5.0,7.75,9.25,
14013378,,6.0,,,,,5.25,7.75,7.0,
14013379,,7.0,,,,,7.25,9.0,,
14013380,,7.75,,,,,9.25,9.0,,
14013381,,5.25,,,,,4.25,4.5,5.25,
14013382,,5.25,,,,,5.25,8.5,8.75,
14013383,,6.5,,,,,5.5,7.25,7.25,
14013384,6.4,6.0,,,,,,,,
14013385,,5.0,,,,,4.5,7.0,,
14013386,,4.0,,,,,4.75,7.75,9.0,
14013387,,4.5,,,,,5.75,7.25,8.5,
14013388,8.0,7.75,,,,,9.75,8.5,,
14013389,,3.75,,,,,,,,
14013390,,4.25,,,,,5.5,7.0,7.0,
14013391,,3.75,,,,,3.5,5.75,,
14013392,,4.75,,,,,4.5,5.5,6.25,
14013393,,4.0,,,,,4.0,7.5,,
14013394,,5.0,,,,,4.5,7.25,7.25,
14013396,,7.0,,,,,6.75,8.25,9.0,
14013397,5.6,6.75,,,,,9.0,8.25,7.75,
14013398,6.4,6.5,,,,,8.0,6.5,9.0,
14013399,5.4,,,4.5,4.5,,,,,
14013400,,3.75,,,,,2.25,6.0,5.5,
14013401,,3.5,,,,,8.25,7.0,7.0,
14013402,,4.75,,,,,8.75,9.0,7.5,
14013403,,5.0,,,,,3.5,4.75,,
14013404,,6.5,,,,,8.25,9.0,9.75,
14013405,,5.25,,,,,8.25,8.75,8.25,
14013406,7.6,,,6.75,6.25,,,,,
14013407,,5.0,,,,,6.75,8.5,,
14013408,,5.75,,,,,6.75,6.5,4.5,
14013409,,4.75,,,,,3.75,5.5,,
14013410,,5.25,,,,,9.0,8.75,9.75,
14013411,,3.0,,,,,5.0,4.25,6.0,
14013412,,4.0,,,,,3.25,4.75,5.75,
14013413,,6.0,,,,,7.5,7.25,9.25,
14013414,,7.25,,,,,9.5,10.0,9.75,
14013415,,3.25,,,,,6.0,5.5,5.5,
14013416,,5.25,,,,,4.25,6.25,7.75,
14013417,,7.25,,,,,7.0,8.75,,
14013418,,4.0,,,,,3.25,5.5,5.0,
14013419,,4.5,,,,,4.0,7.5,,
14013420,,2.75,,,,,5.75,5.0,8.25,
14013421,,4.5,,,,,4.5,7.0,,
14013422,6.6,,,,6.75,7.0,,,,
14013423,,5.0,,,,,7.5,7.5,7.75,
14013424,,5.25,,,,,7.0,6.5,,
14013425,,2.0,,,,,5.25,3.25,6.75,
14013426,9.2,,7.6,9.0,,,,,,N1
14013427,2.6,2.25,,,,,2.0,1.75,,
14013428,,5.5,,,,,8.75,7.25,7.5,
14013429,,5.25,,,,,5.5,6.25,7.5,
14013430,,5.75,,,,,9.25,9.5,,
14013431,,7.5,,,,,9.0,8.75,9.0,
14013432,,4.75,,,,,6.75,8.0,8.25,
14013433,,5.75,,,,,6.75,7.75,,
14013434,,3.5,,,,,7.75,8.0,8.5,
14013435,,5.5,,,,,8.0,9.0,10.0,
14013436,7.2,,3.4,5.5,5.75,,,,,N1
14013437,,3.5,,,,,7.75,6.75,9.0,
14013438,,3.5,,,,,6.0,6.75,,
14013439,,5.5,,,,,7.5,8.25,8.25,
14013440,,4.0,,,,,4.25,6.75,8.0,
14013441,8.6,,8.2,,8.0,,,,,N1
14013442,,3.75,,,,,6.75,6.0,5.5,
14013443,,5.5,,,,,6.0,6.75,,
14013444,,3.5,,,,,6.5,5.75,,
14013445,,5.75,,,,,5.75,8.25,,
14013446,,5.0,,,,,9.0,9.75,9.75,
14013447,6.2,,,4.5,3.5,,,,,
14013448,,4.75,,,,,5.0,6.5,7.5,
14013450,,4.25,,,,,9.25,8.75,9.75,
14013451,,7.5,,,,,9.5,9.5,,
14013452,,5.25,,,,,4.25,6.5,,
14013453,,6.75,,,,,7.75,8.25,8.5,
14013454,,6.0,,,,,8.25,9.25,,
14013455,,4.75,,,,,6.25,5.5,5.25,
14013456,,6.0,,,,,7.5,8.5,8.0,
14013457,,6.25,,,,,7.25,8.75,7.75,
14013458,,4.25,,,,,6.5,5.0,8.5,
14013459,,4.0,,,,,4.5,7.0,6.75,
14013460,,6.75,,,,,5.25,6.5,8.25,
14013461,,6.0,,,,,5.5,7.75,,
14013462,,4.75,,,,,5.75,6.5,,
14013463,8.4,,5.6,7.0,4.25,,,,,N1
14013464,,5.5,,,,,5.5,5.25,7.25,
14013465,,6.0,,,,,5.0,5.5,7.0,
15018562,,6.75,,,,,10.0,9.5,2.25,
15018563,,6.0,,,,,5.25,7.75,,
15018564,2.0,3.75,,,,,4.0,5.0,,
15018565,7.0,7.25,5.0,,,,,,,N1
15018566,,7.5,,,,,8.0,8.5,,
15018567,6.6,,,,5.5,4.75,,,,
15018568,,6.75,,,,,5.5,7.75,9.5,
15018569,,4.0,,,,,3.75,7.0,,
15018570,8.0,,,,7.5,7.5,,,,
15018571,5.0,5.0,5.6,,,,,,,N1
15018572,,6.75,,,,,7.25,7.75,,
15018574,9.2,,5.2,9.5,8.75,7.25,,,,N1
15018575,5.4,7.75,5.4,,,,,,,N1
15018577,,4.5,,,,,4.5,6.75,,
15018578,,7.0,,,,,8.5,9.0,9.25,
15018579,7.8,,,3.75,8.5,9.0,,,,
15018580,6.0,,6.0,3.5,,,,,,N1
15018581,8.0,7.75,4.2,,,,,,,N1
15018582,7.6,8.25,,8.0,5.5,,,,,
15018583,5.6,2.25,2.2,,,,4.5,4.5,5.0,N1
15018584,,5.75,,,,,8.0,7.75,,
15018585,7.8,8.75,,,,,9.0,9.0,,
15018586,8.0,8.0,6.2,,,,,,,N1
15018588,,5.5,,,,,6.5,8.0,9.0,
15018589,,6.0,,,,,9.25,9.0,,
15018591,8.2,,,7.75,6.75,1.75,,,,
15018592,7.8,8.75,8.0,,,,,,,N1
15018593,2.2,2.75,,,,,3.25,5.25,,
15018594,,6.5,,,,,9.75,9.5,9.75,
15018595,,4.25,,,,,5.5,7.25,,
15018596,,8.0,,,,,8.25,9.25,9.5,
15018597,,5.5,,,,,7.5,7.0,,
15018599,,7.75,,,,,7.5,,9.75,
15018600,,7.0,,,,,7.5,7.25,,
15018601,7.8,6.5,,,,,9.5,9.25,,
15018602,,7.0,,,,,7.25,6.75,9.25,
15018605,,4.5,,,,,4.25,5.0,,
15018606,,8.75,,,,,9.5,9.25,,
15018607,,5.25,,,,,5.0,8.75,,
15018608,,6.75,,,,,8.75,9.0,,
15018609,,1.5,,,,,3.5,4.5,6.75,
15018610,3.0,,,3.0,3.25,,,,,
15018611,7.8,,,7.25,7.0,,,,,
15018612,6.4,,,3.75,3.75,5.25,,,,
15018613,,5.5,,,,,8.5,7.0,8.5,
15018614,7.2,,,5.0,7.0,5.75,,,,
15018615,2.0,3.5,,,,,4.0,,,
15018616,,5.5,,,,,7.75,8.0,7.25,
15018617,8.2,8.25,,,,,,,,
15018618,8.6,,,7.75,8.0,,,,,
15018619,,6.25,,,,,8.25,7.5,,
15018620,5.8,7.0,5.4,3.5,,,,,,N1
15018621,,6.5,,,,,5.25,7.75,,
15018622,7.2,7.25,,,,,8.5,9.25,8.25,
15018623,,4.5,,,,,7.0,6.75,,
15018624,,7.5,,,,,9.5,9.75,,
15018625,,4.5,,,,,6.0,7.75,,
15018626,,6.5,,,,,0.0,0.0,,
15018627,,5.75,,,,,8.75,8.5,,
15018628,8.6,9.0,7.6,,,,,,,N1
15018629,,5.75,,,,,8.0,8.5,,
15018630,,7.0,,,,,9.0,8.75,,
15018631,,5.25,,,,,6.5,7.25,,
15018632,7.4,6.75,4.2,6.5,2.25,,,,,N1
15018633,7.4,,,7.75,9.0,,,,,
15018634,8.6,7.75,,8.25,8.25,,,,,
15018635,8.2,,,8.25,8.75,,,,,
15018636,,6.25,,,,,7.0,8.5,,
15018637,,5.0,,,,,9.25,8.75,,
15018638,,8.5,,,,,7.5,9.0,8.75,
15018639,8.2,8.0,7.6,,,,,,,N1
15018640,8.2,,,7.0,7.25,,,,,
15018641,8.4,,,,8.5,8.25,,,,
15018642,7.8,,3.8,,3.75,0.0,,,,N1
15018643,,6.0,,,,,7.0,8.5,,
15018644,,7.0,,,,,9.25,9.5,,
15018646,6.6,9.0,,,,,8.75,,9.75,
15018647,7.0,7.75,8.0,,,,,,,N4
15018648,8.0,,,8.25,4.75,,,,,
15018649,8.4,,,7.75,8.0,,,,,
15018652,7.8,,,8.0,9.0,,,,,
15018653,,8.75,,,,,10.0,9.0,,
15018655,,4.75,,,,,3.25,7.0,7.5,
15018656,,6.5,,,,,7.5,7.25,,
15018657,,5.0,,,,,5.25,6.25,,
15018658,,5.75,,,,,7.25,7.75,,
15018660,,7.75,,,,,6.75,8.25,,
15018661,,4.25,,,,,3.25,6.75,,
15018662,7.6,6.75,,6.75,6.75,,,,,
15018663,,8.75,,,,,9.5,9.75,,
15018664,7.6,7.25,6.2,,,,,,,N1
15018666,8.4,,4.0,4.75,,,,,,N1
15018667,7.6,6.75,,,,,7.25,6.75,,
15018668,,7.25,,,,,6.75,8.25,,
15018669,,5.25,,,,,7.0,6.75,,
15018670,8.4,,,8.75,7.75,,,,,
15018671,8.2,6.25,4.4,,,,,,,N1
15018672,7.8,,,7.0,6.0,,,,,
15018673,8.6,,,7.5,8.75,,,,,
15018674,,3.5,,,,,5.75,6.0,,
15018675,7.2,,4.4,6.5,,,,,,N1
15018676,,6.75,,,,,9.25,9.75,8.0,
15018677,8.6,6.5,,8.5,9.0,2.5,,,,
15018678,8.6,,,6.25,6.5,,,,,
15018679,,8.25,,,,,9.25,8.0,,
15018680,,7.0,,,,,10.0,9.5,,
15018681,,5.25,,,,,9.0,8.5,,
15018682,,6.5,,,,,8.25,7.75,,
15018684,8.8,,,6.25,6.5,,,,,
15018685,,7.25,,,,,9.5,8.75,,
15018686,,8.5,,,,,8.25,9.5,,
15018687,,7.0,,,,,9.75,9.75,,
15018688,,7.75,,,,,8.75,9.0,,
15018689,,7.25,,,,,7.0,8.5,,
15018690,4.8,7.5,6.0,,,,,,,N1
15018691,6.8,7.75,6.4,,,,,,,N1
15018692,,9.0,,,,,,,,
15018693,,7.25,,,,,7.5,7.5,,
15018694,,7.0,,,,,6.75,6.75,,
15018695,8.8,,,8.0,9.0,,,,,
15018696,,6.75,,,,,8.25,8.75,,
15018697,,8.0,,,,,8.0,9.0,,
15018698,,5.5,,,,,6.75,5.75,,
15018699,,5.75,,,,,6.0,8.0,,
15018700,6.6,7.75,,,,,8.0,8.25,,
15018701,6.4,5.75,,6.75,5.0,4.75,,,,
15018702,8.4,4.75,,7.5,7.5,,,,,
15018703,7.6,,,7.25,6.25,,,,,
15018704,,5.25,,,,,8.0,8.75,,
15018705,,5.5,,,,,5.75,6.25,7.75,
15018706,6.8,8.0,6.6,,,,,,,N4
15018707,,7.5,,,,,8.5,8.0,,
15018708,,6.75,,,,,8.25,8.0,,
15018710,,5.5,,,,,5.25,8.0,,
15018711,,6.0,,,,,7.25,7.25,,
15018712,,8.5,,,,,9.75,9.75,6.75,
15018713,4.0,3.5,,,,,5.5,,,
15018714,,7.0,,,,,9.5,9.0,,
15018715,5.8,7.5,6.2,,,,,,,N1
15018716,8.6,8.0,,3.75,5.0,8.25,,,,
15018717,,7.5,,,,,,,,
15018719,5.4,2.25,,,,,2.5,6.0,,
15018720,,5.25,,,,,7.25,7.25,,
15018721,,6.0,,,,,4.75,7.0,,
15018722,,6.75,,,,,,,8.25,
15018723,,5.5,,,,,8.75,9.25,,
15018724,2.4,4.75,2.4,,,,2.75,5.75,7.25,N1
15018725,,4.5,,,,,7.75,5.5,,
15018726,,6.25,,,,,2.75,7.25,7.0,
15018727,,9.5,,,,,9.5,10.0,5.75,
15018728,6.6,8.5,,,,,9.0,,,
15018730,,6.75,2.4,,,,4.75,7.25,,N1
15018731,,7.5,,,,,9.25,9.5,,
15018732,,6.25,,,,,6.25,7.0,,
15018733,,5.75,,,,,4.75,5.0,,
15018735,,8.25,,,,,9.75,9.75,4.5,
15018736,6.4,8.75,4.2,,,,,,9.5,N1
15018737,7.8,8.5,8.8,,,,,,,N1
15018738,,6.0,,,,,7.0,7.75,,
15018739,,5.5,,,,,7.75,7.75,,
15018740,,3.5,,,,,4.25,6.75,,
15018741,,7.75,,,,,,8.25,9.25,
15018742,7.4,7.75,7.4,,,,6.75,8.75,9.5,N1
15018743,,,3.2,,,,,,,N1
15018744,,8.0,,,,,10.0,9.25,,
15018745,6.8,7.0,8.0,,,,7.0,9.25,8.25,N1
15018746,6.6,8.0,6.0,,,,,,,N1
15018747,7.6,8.75,,,,,7.75,8.5,,
15018748,,5.0,,,,,8.0,9.75,,
15018749,8.2,8.5,5.6,,,,,,,N1
15018750,9.0,7.0,8.6,9.25,5.0,4.5,,,,N1
15018751,6.4,7.25,3.0,,,,,,,N1
15018752,,6.0,,,,,6.25,7.5,,
15018753,,3.75,,,,,3.0,5.5,,
15018754,,5.0,,,,,5.0,5.0,,
15018755,8.4,,,8.25,8.75,7.25,,,,
15018756,3.2,5.75,3.6,,,,3.75,5.75,7.0,N1
15018757,8.2,8.0,6.2,,,,,,,N1
15018758,6.4,,,,3.75,4.25,,,,
15018759,6.6,7.25,4.8,,,,,,,N1
15018760,8.0,8.0,8.0,,,,,,,N1
15018761,,6.5,,,,,6.75,6.75,,
15018762,,7.75,,,,,9.75,10.0,,
15018763,,5.25,,,,,4.5,7.0,,
15018764,,4.5,,,,,4.0,5.25,4.5,
15018765,,6.75,,,,,7.5,7.5,,
15018766,,8.0,,,,,,,,
15018767,,4.0,,,,,6.75,8.5,6.75,
15018768,,4.0,,,,,6.25,7.25,,
15018769,,5.5,,,,,7.75,7.5,,
15018771,,6.0,,,,,,,,
15018773,,6.25,,,,,8.0,8.0,,
15018774,,6.0,,,,,6.25,7.25,,
15018775,3.2,5.75,4.4,,,,,,,N1
15018776,,6.75,,,,,8.25,7.75,,
15018777,8.4,,,,6.0,6.75,,,,
15018778,,5.0,,,,,5.25,7.5,6.25,
15018779,8.2,,,6.75,7.25,,,,,
15018780,3.4,2.5,,,,,2.0,5.25,,
15018781,7.2,7.5,6.4,5.5,,,,,,N1
15018782,,9.0,,,,,10.0,9.0,9.75,
15018783,7.4,,,,7.5,8.5,,,,
15018784,,7.0,,,,,8.75,9.0,,
15018785,7.6,,,5.5,3.5,7.0,,,,
15018786,3.0,1.25,,,,,2.75,3.75,,
15018788,,8.5,,,,,9.5,9.75,,
15018789,,8.5,,,,,8.75,9.0,8.0,
15018791,,8.5,,,,,9.75,10.0,,
15018792,6.2,7.75,5.0,,,,,,,N1
15018793,7.8,,,8.0,8.25,,,,,
15018795,6.0,8.75,,,,,10.0,8.5,9.5,
15018796,,8.75,,,,,9.5,9.5,,
15018797,,8.25,,,,,6.25,6.5,9.25,
15018798,,7.5,,,,,9.25,8.25,,
15018799,,5.5,,,,,8.25,8.5,,
15018800,8.2,,,,7.75,7.25,,,,
15018801,,5.75,,,,,5.5,6.75,9.5,
15018802,,4.5,,,,,3.5,6.0,,
15018803,,5.75,,,,,10.0,9.75,,
15018804,,7.25,,,,,9.5,8.5,9.0,
15018805,,6.5,,,,,9.25,9.25,,
15018806,,9.0,,,,,9.75,9.25,9.75,
15018807,3.8,7.75,5.4,,,,6.25,8.0,9.25,N1
15018808,7.0,7.0,,,,,,8.75,9.75,
15018810,7.0,,,7.75,4.0,,,,,
15018811,5.4,5.5,4.2,,,,,,,N1
15018812,8.8,,,8.25,8.25,,,,,
15018813,8.0,,,7.25,7.75,,,,,
15018814,7.6,,,7.25,7.25,,,,,
15018815,8.2,,,9.5,6.75,3.25,,,,
15018816,,5.25,,,,,5.25,8.5,7.5,
15018817,,6.25,,,,,6.25,7.5,,
15018818,,7.75,7.6,,,,7.25,8.75,9.0,N1
15018819,6.8,8.0,4.6,,,,,,,N1
15018820,7.4,7.5,4.4,,,,,,,N1
15018821,,8.5,,,,,7.5,7.75,,
15018822,7.0,8.5,,,,,8.75,9.25,6.5,
15018823,4.2,6.25,4.4,,,,6.25,7.0,10.0,N1
15018824,,8.75,,,,,6.5,,,
15018825,,6.5,,,,,9.0,8.5,,
15018826,,5.5,,,,,9.25,8.75,,
15018827,,6.5,,,,,6.0,7.75,,
15018828,,4.0,,,,,9.5,8.75,8.0,
15018829,4.2,,3.8,2.0,,,,,,N1
15018830,,4.75,,,,,7.25,8.25,,
15018831,7.6,6.75,,,,,8.5,,,
15018832,7.0,,,7.0,8.0,,,,,
15018833,,4.75,,,,,6.75,8.0,,
15018834,,5.0,,,,,5.75,7.75,8.25,
15018835,8.2,5.75,,,,,7.25,,,
15018837,,7.25,,,,,8.0,8.0,,
15018838,,5.75,,,,,5.75,5.25,,
15018839,8.4,,7.2,,9.75,7.5,,,,N1
15018840,,8.75,,,,,10.0,9.5,,
15018841,7.0,4.25,4.6,,,,5.5,7.5,9.25,N1
15018842,,4.5,,,,,8.75,7.0,,
15018843,,4.25,,,,,1.5,5.5,,
15018844,,6.5,,,,,9.0,9.75,,
15018845,,6.25,,,,,8.25,9.0,,
15018846,,6.75,,,,,8.75,9.0,9.75,
15018847,,3.25,,,,,5.25,9.0,,
15018849,8.6,,,,6.75,8.0,,,,
15018851,7.8,7.75,5.0,,,,,,,N1
16016288,,6.25,,,,,6.5,9.0,,
16016289,,7.0,,,,,7.25,8.5,9.75,
16016290,,7.25,,,,,8.75,9.5,,
16016291,,6.5,,,,,6.0,9.0,,
16016292,8.0,,6.0,7.5,,,,,,N1
16016293,,8.0,,,,,9.25,10.0,,
16016294,,4.25,,,,,5.25,6.0,,
16016295,9.2,,,9.25,9.75,,,,,
16016296,7.4,7.75,6.8,8.0,,,,,,N1
16016297,3.2,4.0,,,,,6.0,5.0,,
16016298,,6.5,,,,,,,,
16016299,,5.25,,,,,8.75,9.0,,
16016300,,8.5,,,,,7.25,8.0,,
16016301,8.0,7.25,3.8,,,,,,,N1
16016302,7.2,7.5,4.6,,,,,,,N1
16016303,8.2,8.0,5.8,,,,6.0,,,N1
16016304,6.2,6.25,4.6,,,,5.0,7.25,7.25,N1
16016305,8.2,,,7.5,7.0,,,,,
16016306,6.8,6.5,4.2,,,,,,,N1
16016307,,3.75,,,,,3.0,4.75,,
16016308,,8.5,5.4,,,,9.25,9.5,,N1
16016309,,7.5,,,,,10.0,9.75,,
16016310,7.8,,6.6,7.5,,,,,,N1
16016311,7.2,6.5,,,,,8.75,8.0,,
16016312,,8.0,,,,,8.5,9.5,,
16016313,,3.75,,,,,5.0,7.0,,
16016314,,3.0,,,,,5.0,5.25,,
16016315,,3.5,,,,,5.5,6.75,,
16016316,8.6,,7.6,8.75,,,,,,N1
16016317,7.4,,,7.5,7.0,,,,,
16016318,6.0,,,6.0,4.5,,,,,
16016319,,8.0,5.0,,,,8.5,,9.75,N1
16016320,7.8,,,8.25,8.25,,,,,
16016321,8.4,,,,7.75,8.0,,,,
16016322,7.2,7.0,,,,,,,,
16016323,,7.0,,,,,8.5,8.0,,
16016324,,5.0,,,,,4.25,5.75,,
16016325,7.0,5.75,5.2,6.5,5.25,5.5,,,,N1
16016326,8.2,,,6.5,7.5,,,,,
16016327,8.8,,6.0,8.0,,,,,,N1
16016328,,6.0,,,,,5.5,8.0,,
16016329,4.4,,,3.0,5.0,,,,,
16016330,7.0,,,7.25,5.0,,,,,
16016331,,5.0,,,,,4.75,5.75,,
16016332,6.8,6.0,,,,,,7.0,,
16016333,4.2,5.75,3.4,,,,5.0,8.0,8.5,N1
16016334,8.0,7.75,7.0,,,,,,,N1
16016335,7.8,,,,7.75,9.0,,,,
16016336,,6.0,,,,,7.5,7.5,,
