sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
1018113,6.4,8.0,4.8,,,,4.75,4.0,5.25,N1
1018114,,8.75,,,,,8.75,8.5,9.75,
1018115,,7.0,,,,,6.5,8.75,,
1018116,6.6,6.75,5.6,,,,6.25,7.5,8.5,N1
1018117,,7.5,,,,,6.5,7.75,8.25,
1018118,,6.25,,,,,6.0,6.5,7.75,
1018119,,4.5,,,,,5.25,6.0,,
1018120,2.8,6.0,,,,,9.25,8.75,8.5,
1018121,2.2,,,4.0,2.0,,,,,
1018123,,8.0,,,,,8.75,7.5,,
1018124,7.2,7.75,3.6,5.5,,,,,,N1
1018125,7.8,8.0,7.8,,,,6.75,7.75,8.25,N1
1018126,,7.5,,,,,8.0,7.0,,
1018129,,7.0,,,,,8.5,9.25,,
1018130,,7.5,,,,,9.25,9.0,,
1018131,5.2,7.25,7.0,,,,,,,N1
1018132,,4.75,,,,,3.75,4.75,6.75,
1018133,,7.5,,,,,5.0,7.25,,
1018134,,3.75,,,,,4.25,4.25,,
1018135,,7.0,,,,,4.25,6.0,7.5,
1018136,6.6,9.25,3.2,,,,,,,N1
1018137,3.0,7.75,,,,,9.5,8.0,,
1018138,,5.75,,,,,3.0,5.25,,
1018139,3.4,7.5,5.0,,,,,,,N1
1018140,,3.75,,,,,6.25,7.25,,
1018141,,8.5,,,,,5.5,8.0,,
1018142,,7.25,,,,,3.5,5.0,8.25,
1018143,8.8,,8.0,8.75,,,,,,N1
1018144,,6.75,,,,,3.5,6.0,,
1018145,,5.25,,,,,4.0,5.0,,
1018146,8.6,,,,7.25,8.5,,,,
1018147,,5.75,,,,,,,,
1018148,5.2,7.25,,,,,,6.75,9.0,
1018149,,7.75,5.8,,,,9.25,,,N1
1018150,,5.0,,,,,7.25,5.75,,
1018151,7.8,,6.0,8.75,2.5,3.75,,,,N1
1018152,4.8,,,3.0,3.0,,,,,
1018153,3.6,6.0,5.2,,,,6.75,6.0,8.75,N1
1018154,,6.75,,,,,7.75,8.25,,
1018155,,8.5,7.2,,,,,,,N1
1018156,,8.0,,,,,6.75,7.0,9.0,
1018158,,8.0,,,,,6.5,8.25,,
1018159,7.4,8.0,4.0,,,,,,,N1
1018160,7.4,8.0,,,5.75,,,,,
1018162,8.0,,7.4,8.25,,,,,,N1
1018163,,7.25,,,,,3.0,5.75,,
1018165,,7.0,,,,,3.25,7.5,,
1018166,,7.75,,,,,3.5,5.75,,
1018167,3.4,6.25,,,,,7.25,8.0,,
1018168,6.2,,7.0,5.0,,,,,,N1
1018169,8.0,,8.2,5.5,,,,,,N1
1018170,8.0,,,6.75,7.0,,,,,
1018171,,7.25,,,,,6.5,8.5,8.25,
1018172,8.8,7.0,,7.5,7.5,,,,,
1018173,,6.75,,,,,,,,
1018174,,7.5,,,,,5.75,7.0,,
1018176,8.2,8.5,5.6,,,,6.5,8.0,,N1
1018177,,6.0,,,,,6.25,7.0,7.5,
1018178,8.2,8.75,8.2,,,,,,,N1
1018180,,9.25,,,,,,,,
1018181,8.4,9.25,8.6,,,,,,,N1
1018182,,6.75,,,,,8.0,6.75,,
1018183,7.0,8.75,,,,,9.25,8.75,,
1018184,,,8.4,,,,,,,N1
1018185,,8.5,,,,,5.5,7.5,,
1018186,,9.25,,,,,9.0,8.75,,
1018188,,8.0,,,,,5.5,8.0,,
1018189,8.2,9.25,6.6,,,,,,,N1
1018190,,6.5,,,,,4.5,6.75,6.5,
1018191,,8.75,,,,,,,,
1018192,3.2,7.75,,,,,8.5,8.75,8.5,
1018195,3.0,7.5,,,,,8.75,9.25,9.5,
1018196,,6.25,,,,,3.75,3.25,,
1018197,3.2,6.5,5.2,,,,7.0,6.25,7.75,N1
1018199,4.8,6.0,6.4,,,,8.25,6.0,8.25,N1
1018200,,5.75,,,,,6.25,6.0,,
1018201,7.8,9.5,,,,,9.0,,,
1018202,,9.5,6.4,,,,8.5,8.75,,N1
1018203,7.4,8.25,6.8,,,,,,,N1
1018204,7.8,8.5,5.6,,,,,,,N1
1018205,3.6,5.0,1.8,,,,4.0,6.0,7.0,N1
1018206,8.4,8.5,7.0,3.75,,,,,,N1
1018207,5.2,8.25,5.6,,,,4.5,3.0,6.25,N1
1018208,7.8,8.25,5.4,,,,,,,N1
1018209,,8.0,,,,,,,,
1018210,,7.25,,,,,8.25,8.0,,
1018211,6.6,8.25,4.6,,,,,,,N1
1018212,7.0,9.25,5.6,,,,10.0,8.75,8.5,N1
1018213,3.6,4.0,,,,,3.25,5.25,,
1018214,,9.5,,,,,7.5,8.75,,
1018215,8.6,,6.8,5.25,9.0,9.0,,,,N1
1018217,2.6,5.0,,,,,4.75,4.0,,
1018218,,6.5,,,,,5.5,8.25,,
1018219,8.2,7.0,4.2,8.75,7.25,5.0,,,,N1
1018220,8.8,,,7.5,8.75,4.0,,,,
1018221,,,6.8,,,,6.5,8.25,8.75,N1
1018222,8.0,7.5,7.2,6.25,3.0,3.0,,,,N1
1018223,,5.75,,,,,4.0,5.25,7.75,
1018224,,4.0,,,,,7.5,8.5,8.75,
1018225,,3.5,,,,,2.5,2.75,,
1018226,,4.25,,,,,6.75,6.75,7.0,
1018227,7.0,,,5.25,7.0,,,,,
1018228,,7.25,,,,,5.0,6.25,7.5,
1018229,,7.75,,,,,5.0,7.25,7.0,
1018230,7.0,6.25,7.4,,,,4.75,6.5,7.5,N1
1018231,,8.75,,,,,8.5,9.25,,
1018232,6.2,7.0,,,,,,5.25,8.0,
1018234,7.8,6.5,5.6,,,,,,,N1
1018235,,6.5,,,,,7.0,7.0,8.25,
1018236,,5.75,,,,,7.0,8.0,,
1018237,7.6,,8.0,6.5,,,,,,N1
1018238,5.4,7.0,,,,,6.25,3.5,7.25,
1018239,6.4,3.75,6.6,,,,,,,N1
1018240,8.2,7.25,4.8,,,,6.0,7.25,7.75,N1
1018241,,6.5,,,,,4.75,6.25,,
1018242,,8.0,,,,,7.0,6.5,,
1018243,,6.75,,,,,7.0,8.0,,
1018244,6.0,3.5,,4.0,2.5,2.5,,,,
1018245,7.8,,,,6.75,7.0,,,,
1018246,6.2,8.0,5.0,,,,,,,N1
1018247,5.6,6.25,3.6,,,,5.0,6.25,7.75,N1
1018248,,4.25,,,,,5.25,7.25,,
1018249,6.8,,4.8,5.0,,,,,,N1
1018250,,5.75,,,,,6.0,4.0,,
1018251,8.6,,6.0,8.25,,,,,,N1
1018252,,7.25,,,,,7.25,7.0,,
1018254,9.2,,8.4,9.75,,,,,,N1
1018255,,7.0,,,,,7.0,7.0,8.0,
1018256,7.8,,,,4.5,7.5,,,,
1018257,,9.0,,,,,8.5,9.25,8.75,
1018258,,6.25,,,,,3.75,5.5,,
1018259,8.8,,,,9.0,9.25,,,,
1018260,,5.0,,,,,6.25,7.25,,
1018261,7.4,7.75,,,,,8.0,,,
1018262,6.4,,6.8,3.5,2.5,4.0,,,,N1
1018263,,6.0,,,,,5.5,6.0,,
1018264,,7.75,,,,,7.5,7.25,,
1018265,,6.5,,,,,5.5,7.0,8.5,
1018266,3.4,3.75,2.4,,,,2.25,2.25,7.5,N1
1018267,,5.25,,,,,6.0,6.25,,
1018268,,7.0,,,,,5.75,6.75,6.75,
1018269,,8.25,,,,,5.25,6.75,,
1018270,,,2.6,,,,,,,N1
1018271,7.0,7.25,6.6,,,,,,,N1
1018272,,8.0,,,,,6.25,7.5,,
1018273,,2.25,,,,,6.0,6.75,6.25,
1018275,8.2,9.25,6.8,,,,,,,N1
1018276,8.6,9.5,7.8,,,,,,,N1
1018277,7.2,7.5,3.8,,,,,,,N1
1018278,9.2,9.5,8.8,,,,5.0,6.5,8.75,N1
1018279,7.8,8.25,7.2,,,,8.0,,,N1
1018280,6.8,8.75,8.0,,,,,,,N1
1018281,4.2,7.75,,,,,4.25,1.75,,
1018282,8.0,7.0,,,,,6.5,6.5,9.25,
1018284,,5.75,,,,,4.25,6.25,6.75,
1018285,8.6,,8.6,8.25,,,,,,N1
1018286,8.2,8.25,9.2,,,,,,,N1
1018287,,8.75,,,,,9.5,9.5,,
1018288,6.2,9.25,6.0,,,,,,,N1
1018290,,8.5,,,,,9.0,7.5,,
1018291,,8.5,,,,,,,,
1018292,8.6,,,,9.0,8.25,,,,
1018294,,5.0,,,,,6.5,7.25,,
1018295,4.0,6.5,,,,,6.5,7.25,,
1018296,3.0,5.0,,,,,3.75,4.5,5.5,
1018297,6.6,8.0,9.0,,,,,,,N1
1018299,,4.75,,,,,5.75,5.25,,
1018300,,9.25,,,,,,,,
1018302,7.0,,,6.25,3.25,5.5,,,,
1018303,,5.25,,,,,3.25,6.5,,
1018304,,6.0,,,,,,,,
1018305,7.6,9.25,,,,,6.0,,,
1018307,6.0,,,4.0,2.5,,,,,
1018308,,7.5,,,,,,,,
1018309,,5.25,,,,,4.0,6.75,,
1018310,8.2,8.0,,,,,9.0,,,
1018311,7.8,7.0,5.4,,,,,,,N1
1018312,,5.0,,,,,4.5,6.5,,
1018313,7.6,,8.2,8.0,5.25,7.5,,,,N1
1018314,,6.25,,,,,6.0,6.5,,
1018315,8.6,6.5,7.8,9.0,1.75,4.5,,,,N1
1018316,8.2,,7.8,5.25,9.25,2.75,,,,N1
1018317,,6.75,,,,,4.0,6.5,6.5,
1018318,4.4,,,3.5,3.25,,,,,
1018319,,6.5,,,,,6.5,8.25,7.5,
1018320,,8.25,6.6,,,,7.5,8.5,8.25,N1
1018321,5.8,8.25,6.2,,,,,,,N1
1018323,,7.5,,,,,6.0,7.5,,
1018324,8.0,7.5,8.2,,,,,,,N1
1018325,,6.0,,,,,7.0,6.0,7.25,
1018326,4.8,4.75,4.4,,,,5.0,6.0,8.25,N1
1018327,6.0,7.75,,,,,7.5,,,
1018329,,7.25,,,,,6.25,8.25,8.0,
1018330,7.2,9.0,5.4,7.5,,,,,,N1
1018331,8.6,9.0,8.4,,,,8.75,,,N1
1018332,6.0,8.5,5.0,,,,,8.5,,N1
1018333,8.0,6.75,8.2,7.75,,,,,,N1
1018335,,6.25,,,,,4.25,8.25,,
1018336,8.2,7.5,7.2,,5.5,,,,,N1
1018337,,6.75,,,,,5.5,7.75,8.75,
1018338,,7.25,,,,,9.0,9.75,9.75,
1018339,7.8,7.75,,,,,7.75,7.25,,
1018340,,6.0,,,,,6.0,6.0,,
1018341,7.8,8.5,6.4,,,,,,,N1
1018342,4.0,5.75,2.8,,,,4.5,4.0,8.0,N1
1018343,,9.0,,,,,8.75,7.75,,
1018344,,9.25,,,,,8.5,7.25,,
1018345,7.2,6.25,6.0,,,,,,,N1
1018346,7.8,8.5,7.0,,,,,,,N1
1018347,7.6,9.0,6.2,,,,7.75,6.5,,N1
1018348,7.4,8.75,7.8,,,,,,,N1
1018349,,7.25,,,,,9.0,9.25,,
1018351,8.0,8.75,6.0,,,,4.75,,,N1
1018352,6.8,9.0,6.6,,,,,,,N1
1018354,7.6,9.25,6.0,,,,,,,N1
1018355,,9.25,,,,,8.75,8.25,,
1018356,,8.25,,,,,7.5,8.25,,
1018357,8.6,9.0,,,,,9.5,8.5,,
1018358,8.6,,5.8,6.75,,,,,,N1
1018359,7.0,7.75,5.8,,,,4.5,8.5,8.25,N1
1018360,7.0,8.25,7.8,,,,4.25,4.75,6.75,N1
1018361,6.2,7.5,9.0,,,,4.5,7.5,7.75,N1
1018362,5.0,7.0,,,,,7.0,9.25,8.75,
1018363,,8.0,5.6,,,,7.75,8.0,9.75,N1
1018364,,8.0,6.8,,,,8.5,7.5,8.5,N1
1018365,8.4,9.0,6.8,,,,,,,N1
1018366,,8.75,7.2,,,,6.75,7.5,,N1
1018368,8.2,8.75,7.0,,,,,,,N1
1018369,6.8,,,,7.0,4.75,,,,
1018371,7.2,8.75,7.4,,,,,,,N1
1018372,,8.0,,,,,6.0,7.75,,
1018373,,7.5,,,,,8.5,8.75,9.5,
1018374,8.0,9.5,8.0,,,,,,,N1
1018375,,8.25,,,,,4.25,4.75,,
1018376,,4.75,,,,,4.5,6.0,7.5,
1018377,8.2,,6.2,5.5,,,,,,N1
1018379,,8.25,,,,,9.0,9.5,,
1018381,,5.0,,,,,5.75,7.25,,
1018382,,7.0,,,,,8.0,8.0,,
1018383,,7.25,,,,,7.75,6.5,,
1018385,7.8,6.75,,,,,8.75,8.5,,
1018386,,7.0,,,,,3.75,5.5,,
1018387,3.4,7.5,,,,,8.0,6.75,8.25,
1018388,,5.0,,,,,4.0,5.25,,
1018389,,4.5,,,,,4.75,4.75,8.0,
1018390,6.6,7.25,7.0,,,,6.25,7.75,,N1
1018391,,9.0,,,,,8.5,9.25,,
1018392,8.8,,6.8,3.5,6.0,,,,,N1
1018393,7.0,9.5,6.2,,,,,,,N1
1018394,4.8,9.0,4.4,,,,,,,N1
1018395,7.8,,,6.25,6.5,,,,,
1018396,8.2,9.25,6.8,8.25,,,,,,N1
1018397,7.6,,4.2,,4.0,,,,,N1
1018398,8.6,8.5,7.6,,,,,,,N1
1018399,4.0,7.0,,,,,5.25,8.0,,
1018400,,7.0,,,,,6.5,5.25,,
1018402,,9.0,,,,,,,,
1018403,,7.25,,,,,4.5,6.75,,
1018404,6.6,6.5,,,,,8.0,8.5,8.5,
1018405,7.6,7.0,5.0,,,,,,,N1
1018406,4.4,6.5,,,,,5.25,6.75,8.5,
1018407,7.2,8.5,6.6,,,,7.0,7.5,7.75,N1
1018408,3.2,,,3.0,3.5,,,,,
1018409,3.0,7.0,,,,,6.25,8.0,6.5,
1018410,,6.5,5.6,,,,7.75,6.5,9.25,N1
1018411,,6.5,,,,,8.25,7.25,,
1018412,5.4,6.5,4.8,,,,,,,N1
1018414,8.8,7.75,,9.25,,,,,,
1018415,7.2,7.0,7.2,,,,,,,N1
1018416,8.2,,,,8.25,8.75,,,,
1018417,,7.75,,,,,6.0,7.25,,
1018418,6.2,7.5,5.0,,,,,,,N1
1018419,7.4,7.75,7.8,,,,,,,N1
1018420,,7.5,,,,,8.0,7.0,,
1018422,,8.25,,,,,9.75,10.0,9.0,
1018423,,8.25,,,,,7.75,8.25,,
1018424,8.4,9.0,8.0,8.5,2.75,2.5,,,,N1
1018425,8.0,8.75,6.8,,,,,,,N1
1018426,9.4,8.5,,7.5,6.25,7.75,,,,
1018427,8.2,,8.2,7.25,,,,,,N1
1018428,,6.25,,,,,8.5,7.75,,
1018430,,4.5,,,,,,,,
1018431,,4.75,,,,,7.75,7.0,,
1018432,8.0,8.5,8.6,,,,,,,N1
1018433,2.8,5.5,,,,,4.75,,,
1018435,8.2,,,,9.5,8.25,,,,
1018436,8.2,9.0,,,,,8.5,,,
1018437,5.6,7.0,7.6,,,,6.5,,,N1
1018438,8.8,9.25,8.4,,,,,,,N1
1018439,,8.0,5.8,,,,9.75,8.5,7.0,N1
1018440,8.0,9.25,7.2,,,,,,,N1
1018441,,8.75,,,,,,,,
1018442,4.8,7.0,,,,,,,,
1018443,6.8,8.0,3.6,,,,,,,N1
1018445,5.2,9.5,,,,,3.75,5.5,7.5,
1018447,7.8,,4.6,4.0,,,,,,N1
